"","date","Positive","Negative"
"1","2015-04-01",12,0
"2","2015-07-01",44,0
"3","2015-10-01",62,0
"4","2016-01-01",33,0
"5","2016-04-01",79,0
"6","2016-07-01",186,3
"7","2016-10-01",201,7
"8","2017-01-01",327,4
"9","2017-04-01",470,18
"10","2017-07-01",516,31
